lr-SGD/backbone,lr-SGD/classifier,lr-SGD/pg3,lr-SGD/pg4,step,train_class_loss_step,train_acc1_step,train_acc5_step,train_contrastive_loss_step,tau,epoch,val_loss,val_acc1,val_acc5,train_class_loss_epoch,train_acc1_epoch,train_acc5_epoch,train_contrastive_loss_epoch
3e-05,3e-05,3e-05,3e-05,0,,,,,,,,,,,,,
,,,,49,2.286703586578369,14.6484375,69.921875,3.9304375648498535,0.9900155663490295,0,,,,,,,
,,,,99,15.648067474365234,21.09375,59.9609375,3.560826539993286,0.990063488483429,0,,,,,,,
,,,,149,22.708045959472656,19.53125,59.765625,3.254896640777588,0.990143358707428,0,,,,,,,
,,,,194,,,,,,0,13.680280685424805,23.549999237060547,74.83999633789062,,,,
,,,,194,,,,,,0,,,,9.690279006958008,17.556089401245117,63.19711685180664,3.6068825721740723
0.1504005655526992,0.1504005655526992,0.1504005655526992,0.1504005655526992,195,,,,,,,,,,,,,
,,,,199,15.862268447875977,24.8046875,66.015625,3.0019192695617676,0.9902547597885132,1,,,,,,,
,,,,249,14.167411804199219,23.2421875,73.6328125,2.850275754928589,0.9903969764709473,1,,,,,,,
,,,,299,19.897502899169922,21.6796875,71.6796875,2.7400715351104736,0.990568995475769,1,,,,,,,
,,,,349,31.479934692382812,27.734375,71.484375,2.781332015991211,0.9907697439193726,1,,,,,,,
,,,,389,,,,,,1,30.333642959594727,24.59000015258789,70.27999877929688,,,,
,,,,389,,,,,,1,,,,23.11528968811035,23.481571197509766,70.21434020996094,2.8247222900390625
0.3,0.3,0.3,0.3,390,,,,,,,,,,,,,
,,,,399,42.6568717956543,22.8515625,62.890625,2.615720510482788,0.9909979701042175,2,,,,,,,
,,,,449,13.221426963806152,36.328125,81.640625,2.473081588745117,0.9912521243095398,2,,,,,,,
,,,,499,26.545860290527344,31.4453125,71.875,2.539288282394409,0.9915305972099304,2,,,,,,,
,,,,549,23.353322982788086,24.4140625,78.90625,2.619535446166992,0.9918315410614014,2,,,,,,,
,,,,584,,,,,,2,16.115982055664062,35.12999725341797,84.18999481201172,,,,
,,,,584,,,,,,2,,,,25.976177215576172,28.521635055541992,77.18549346923828,2.5302047729492188
0.2885819298766934,0.2885819298766934,0.2885819298766934,0.2885819298766934,585,,,,,,,,,,,,,
,,,,599,10.485177040100098,34.765625,87.6953125,2.4193592071533203,0.9921530485153198,3,,,,,,,
,,,,649,18.948328018188477,36.5234375,82.421875,2.3704545497894287,0.9924930334091187,3,,,,,,,
,,,,699,17.133319854736328,31.640625,83.59375,2.275423526763916,0.9928492903709412,3,,,,,,,
,,,,749,14.368728637695312,38.671875,85.3515625,2.298579692840576,0.9932194352149963,3,,,,,,,
,,,,779,,,,,,3,11.515137672424316,34.64999771118164,88.36000061035156,,,,
